Audience View,Date,Aggregation,Audience Size
Your total audience,2026-06-04,Monthly,99000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.553,1.636,Mammals,"{'name': 'Mammals', 'id': '956932523301'}",0.241,1.119
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.553,1.636,Arthropods,"{'name': 'Arthropods', 'id': '906756939414'}",0.06,1.078
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.553,1.636,Sealife,"{'name': 'Sealife', 'id': '900726038026'}",0.045,1.758
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.553,1.636,Amphibians,"{'name': 'Amphibians', 'id': '925019110188'}",0.014,
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.518,1.301,Toys,"{'name': 'Toys', 'id': '957620480011'}",0.742,1.212
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.518,1.301,Baby,"{'name': 'Baby', 'id': '933995299235'}",0.409,0.835
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.518,1.301,Family Activities,"{'name': 'Family Activities', 'id': '953318189801'}",0.206,2.479
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.518,1.301,Parenting Advice,"{'name': 'Parenting Advice', 'id': '953388819553'}",0.061,0.287
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.518,1.301,Toddlers and Preschoolers,"{'name': 'Toddlers and Preschoolers', 'id': '936181027673'}",0.016,0.276
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.409,0.883,Holiday,"{'name': 'Holiday', 'id': '910319220330'}",0.892,1.03
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.409,0.883,Gifts,"{'name': 'Gifts', 'id': '915305016791'}",0.21,0.7
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.409,0.883,Personal Celebration,"{'name': 'Personal Celebration', 'id': '944522520255'}",0.206,0.679
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.409,0.883,Hosting Occasions,"{'name': 'Hosting Occasions', 'id': '945568894404'}",0.145,0.671
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.409,0.883,School Celebration,"{'name': 'School Celebration', 'id': '929052754772'}",0.01,0.319
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.343,1.615,Men's Style,"{'name': ""Men's Style"", 'id': '903212673711'}",0.608,1.557
